acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"0,00","1,70","0,47","3,18","1,04","1,81","5,84",174,"0,00",76,"0,00","0,00","4,03",tr,"6,21","0,17",tr,"Abacate, polpa, in natura","17,0","1,15","0,02","0,23","7,16","0,00","86,3","0,20","0,12",tr,"0,04",tr,"6,21","3,11","18,5"
"0,00","0,02","0,37","0,03","0,10","10,6","12,0",125,"0,00",51,"0,00","0,00","1,38","2,88","0,34","0,51","0,13","Abacaxi, polpa, grelhado, c/ canela","16,8","0,70","0,06","0,16","22,4","0,00","86,6","0,42","0,11","0,01","0,02","0,00","1,69","0,92","10,8"
"0,00","0,02","0,39","0,02","0,08","32,5","33,3",137,"0,00",136,"0,00","0,00","0,84","5,24","0,26","0,90","0,10","Abacaxi, cozido, caramelado","19,3","0,60","0,04","0,16","24,6","0,00","65,5","0,30","0,10",tr,"0,02",tr,"0,00","0,00","11,1"
"0,00","0,25","1,08","0,38","0,83","5,43","8,22",170,"0,00",48,"0,00","0,01","2,79",188,"1,61","0,37","0,06","Abobora, cabotian (japonesa), c/ quiabo, refogado (c/ oleo, cebola e alho), c/ salsa, c/ sal","15,8","1,51","4,08","0,34","45,9","0,00","87,6","0,68","0,10","0,02","0,00","0,06",313,156,"37,2"
"0,00","0,02","0,36","0,03","0,10","10,5","11,6",137,"0,00",50,"0,00","0,00","1,12","2,84","0,33","0,47","0,17","Abacaxi, polpa, in natura","16,6","0,68","0,05","0,15","18,4","0,00","87,0","0,41","0,12",tr,"0,02",tr,"2,00","1,00","10,5"
"0,00","0,13","1,99","0,18","0,57","58,6","64,9",767,"0,00",279,"0,00","0,00","6,24","15,9","1,86","2,64","0,92","Abacaxi, polpa, desidratada","92,8","3,80","0,26","0,86",102,"0,00","27,5","2,26","0,69",tr,"0,11",tr,"11,2","5,58","58,7"
"0,00","0,01","0,33","0,01","0,04","7,47","7,80",106,"0,00",33,"0,00","0,00","0,33","1,24","0,11","0,36","0,05","Abacaxi, polpa, congelada","10,1","0,47","0,02","0,06","13,5","0,00","91,3","0,06","0,04",tr,tr,tr,"2,26","1,13","7,63"
"0,00","0,30","0,39","0,10","0,10","13,2","14,9",128,"0,00",66,"0,00","0,00","1,70",tr,"0,70","0,16",tr,"Abiu, in natura","9,30","0,83",NA,"0,10","5,78","0,00","83,1",NA,"0,09",tr,"0,04","0,05",NA,NA,"20,3"
"0,00","0,03","0,82","0,02","0,01","1,57","3,98","67,9","0,00",17,"0,00","0,00","2,41",127,"0,14",tr,tr,"Abobora, moranga, s/ casca, s/ semente, cozida, drenada, s/ oleo, c/ sal","1,21","1,21","1,50","0,06","3,22","0,00","93,8","1,08","0,05",tr,tr,"0,04",342,171,"7,74"
"0,00","0,39","0,49","0,58","1,45","1,53","3,90","66,4","0,00",38,"0,00","0,00","2,36",tr,"2,53",tr,"0,00","Abobora, moranga, s/ casca, s/ semente, cozida, drenada, c/ oleo de soja, s/ sal","1,18","1,19","1,76","0,06","3,08","0,00","91,9","1,05","0,06",tr,tr,"0,04",335,167,"7,58"
"0,00","0,39","0,81","0,58","1,44","1,53","3,89","66,2","0,00",38,"0,00","0,01","2,36",127,"2,52",tr,"0,00","Abobora, moranga, s/ casca, s/ semente, cozida, drenada, c/ oleo de soja, c/ sal","1,18","1,18","1,75","0,06","3,15","0,00","91,6","1,05","0,06",tr,tr,"0,04",334,167,"7,55"
