acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"3,18","1,04","1,70","0,00","7,16","1,81","5,84","0,12","0,00",76,"41,5","0,17","4,03","18,5","6,21","17,0",tr,"Abacate, polpa, in natura",174,"1,15","0,04","0,20",tr,tr,"86,3","3,11","6,21","0,00",tr,"7,32","0,00","0,02","0,23"
"0,03","0,10","0,02","0,00","22,4","10,6","12,0","0,11","0,00",51,"6,77","0,51","1,38","10,8","0,34","16,8","0,01","Abacaxi, polpa, grelhado, c/ canela",125,"0,70","0,02","0,42","2,88","0,13","86,6","0,92","1,69","0,00","0,00","33,0","0,00","0,06","0,16"
"0,18","0,57","0,13","0,00",102,"58,6","64,9","0,69","0,00",279,"63,1","2,64","6,24","58,7","1,86","92,8",tr,"Abacaxi, polpa, desidratada",767,"3,80","0,11","2,26","15,9","0,92","27,5","5,58","11,2","0,00",tr,184,"0,00","0,26","0,86"
"0,03","0,10","0,02","0,00","18,4","10,5","11,6","0,12","0,00",50,"11,3","0,47","1,12","10,5","0,33","16,6",tr,"Abacaxi, polpa, in natura",137,"0,68","0,02","0,41","2,84","0,17","87,0","1,00","2,00","0,00",tr,"33,1","0,00","0,05","0,15"
"0,08","0,05","0,12","0,00","18,0","6,19","8,36","0,06","0,00",41,"21,9","0,37","2,17","25,8","0,54","8,82",tr,"Abobora, cabotian (japonesa), s/ casca, s/sementes, crua",350,"1,75",tr,"1,10",tr,tr,"88,5",254,508,"0,00","0,10","5,09","0,00","5,72","0,32"
"0,38","0,83","0,25","0,01","45,9","5,43","8,22","0,10","0,00",48,"27,5","0,37","2,79","37,2","1,61","15,8","0,02","Abobora, cabotian (japonesa), c/ quiabo, refogado (c/ oleo, cebola e alho), c/ salsa, c/ sal",170,"1,51","0,00","0,68",188,"0,06","87,6",156,313,"0,00","0,06","5,97","0,00","4,08","0,34"
"0,20","0,20","0,10","0,00","7,63","8,30","10,8","0,06","0,00",50,"8,94","0,35","2,46","32,6","0,73","9,11",tr,"Abobora, cabotian (japonesa), s/ casca, cozida, drenada, s/ oleo, s/ sal",199,"1,44",tr,"1,17","1,45","0,08","86,4",308,617,"0,00","0,07","7,46","0,00","8,34","0,29"
"0,10","0,10","0,30","0,00","5,78","13,2","14,9","0,09","0,00",66,NA,"0,16","1,70","20,3","0,70","9,30",tr,"Abiu, in natura",128,"0,83","0,04",NA,tr,tr,"83,1",NA,NA,"0,00","0,05","10,3","0,00",NA,"0,10"
"0,01","0,04","0,01","0,00","13,5","7,47","7,80","0,04","0,00",33,"11,2","0,36","0,33","7,63","0,11","10,1",tr,"Abacaxi, polpa, congelada",106,"0,47",tr,"0,06","1,24","0,05","91,3","1,13","2,26","0,00",tr,"1,25","0,00","0,02","0,06"
"0,02","0,08","0,02","0,00","24,6","32,5","33,3","0,10","0,00",136,"4,23","0,90","0,84","11,1","0,26","19,3",tr,"Abacaxi, cozido, caramelado",137,"0,60","0,02","0,30","5,24","0,10","65,5","0,00","0,00","0,00",tr,"17,4","0,00","0,04","0,16"
